"","Athlete.Name","Team","Rank_800","Rank_1600","Rank_3200","Rank_5k_XC","Total_Score","Best_Event","Second_Best_Event","Avg_Score","Weighted_Avg_Score","Weighted_Total_Score"
"116","Caden Sanchez","Biola ",0.630434782608696,0.666666666666667,0.437185929648241,0.399038461538462,2.13332584046206,0.666666666666667,0.630434782608696,0.533331460115516,0.648550724637681,1.29710144927536
"117","Elijah Sires","Columbus State",0.635869565217391,0.478070175438596,0.587939698492462,0.423076923076923,2.12495636222537,0.635869565217391,0.587939698492462,0.531239090556343,0.611904631854927,1.22380926370985
"118","Joaquin Herrera","ADAMS STATE",0.641304347826087,0.842105263157895,0.904522613065327,0.971153846153846,3.35908607020315,0.971153846153846,0.904522613065327,0.839771517550789,0.937838229609586,1.87567645921917
"119","Kailer Smith","ADAMS STATE",0.646739130434783,0.434210526315789,0.618090452261307,0.677884615384615,2.37692472439649,0.677884615384615,0.646739130434783,0.594231181099124,0.662311872909699,1.3246237458194
"120","Kevin Degree","COLORADO MESA",0.652173913043478,0.675438596491228,0.4321608040201,0.254807692307692,2.0145810058625,0.675438596491228,0.652173913043478,0.503645251465625,0.663806254767353,1.32761250953471
"121","Zachary Zambrano","CAL POLY POMONA",0.657608695652174,0.859649122807018,0.592964824120603,0.875,2.98522264257979,0.875,0.859649122807018,0.746305660644949,0.867324561403509,1.73464912280702
"122","Matthew Gordon","CHICO STATE",0.66304347826087,0.644736842105263,0.623115577889447,0.600961538461538,2.53185743671712,0.66304347826087,0.644736842105263,0.63296435917928,0.653890160183066,1.30778032036613
"123","Charles Becker-Ellison","HUMBOLDT STATE",0.668478260869565,0.732456140350877,0.0552763819095477,NA,1.45621078312999,0.732456140350877,0.668478260869565,0.485403594376663,0.700467200610221,1.40093440122044
"124","Dominic Raffetto","HUMBOLDT STATE",0.673913043478261,0.868421052631579,0.180904522613065,0.456730769230769,2.17996938795367,0.868421052631579,0.673913043478261,0.544992346988419,0.77116704805492,1.54233409610984
"125","Shawn Rutledge ","Oklahoma Baptist ",0.679347826086957,0.649122807017544,0.628140703517588,0.682692307692308,2.6393036443144,0.682692307692308,0.679347826086957,0.659825911078599,0.681020066889632,1.36204013377926
"126","Caleb Chunn","Harding ",0.684782608695652,0.0921052631578947,0.115577889447236,0.384615384615385,1.27708114591617,0.684782608695652,0.384615384615385,0.319270286479042,0.534698996655518,1.06939799331104
"127","Brock Wooderson ","GVSU",0.690217391304348,0.87719298245614,0.919597989949749,0.966346153846154,3.45335451755639,0.966346153846154,0.919597989949749,0.863338629389098,0.942972071897951,1.8859441437959
"128","Andrew Nield","DRURY",0.695652173913043,0.37280701754386,0.185929648241206,0.490384615384615,1.74477345508272,0.695652173913043,0.490384615384615,0.436193363770681,0.593018394648829,1.18603678929766
"129","Drew Monahan","Walsh ",0.701086956521739,0.701754385964912,0.281407035175879,0.461538461538462,2.14578683920099,0.701754385964912,0.701086956521739,0.536446709800248,0.701420671243326,1.40284134248665
"130","Jason Blinn","WESTERN WASHINGTON",0.706521739130435,0.833333333333333,0.527638190954774,0.725961538461538,2.79345480188008,0.833333333333333,0.725961538461538,0.69836370047002,0.779647435897436,1.55929487179487
"131","Isaac Anderson","UMary",0.71195652173913,0.421052631578947,0.542713567839196,0.197115384615385,1.87283810577266,0.71195652173913,0.542713567839196,0.468209526443165,0.627335044789163,1.25467008957833
"132","Jon Eide","Flagler College",0.717391304347826,0.754385964912281,0.909547738693467,0.557692307692308,2.93901731564588,0.909547738693467,0.754385964912281,0.73475432891147,0.831966851802874,1.66393370360575
"133","Mitchell Brett","Shippensburg",0.722826086956522,0.798245614035088,NA,0.355769230769231,1.87684093176084,0.798245614035088,0.722826086956522,0.62561364392028,0.760535850495805,1.52107170099161
"134","Drew Braden","UCCS",0.728260869565217,0.719298245614035,0.14572864321608,0.451923076923077,2.04521083531841,0.728260869565217,0.719298245614035,0.511302708829602,0.723779557589626,1.44755911517925
"135","Jayden Olea","CHICO STATE",0.733695652173913,0.864035087719298,0.78391959798995,0.610576923076923,2.99222726096008,0.864035087719298,0.78391959798995,0.748056815240021,0.823977342854624,1.64795468570925
"136","Sebastian Vaisset-Fauvel","HUMBOLDT STATE",0.739130434782609,0.815789473684211,0.547738693467337,NA,2.10265860193416,0.815789473684211,0.739130434782609,0.700886200644719,0.77745995423341,1.55491990846682
"137","Scott Ardnt","SIMON FRASER",0.744565217391304,0.978070175438597,0.778894472361809,NA,2.50152986519171,0.978070175438597,0.778894472361809,0.833843288397237,0.878482323900203,1.75696464780041
"138","Quinn Wilcox","WESTERN WASHINGTON",0.75,0.925438596491228,0.703517587939699,0.802884615384615,3.18184079981554,0.925438596491228,0.802884615384615,0.795460199953886,0.864161605937922,1.72832321187584
"139","Caleb Carillo de Albornoz","Augusta",0.755434782608696,0.12719298245614,0.100502512562814,0.298076923076923,1.28120720070457,0.755434782608696,0.298076923076923,0.320301800176143,0.526755852842809,1.05351170568562
"140","Patrick Motes","Augusta",0.760869565217391,0.93859649122807,0.92964824120603,0.807692307692308,3.4368066053438,0.93859649122807,0.92964824120603,0.85920165133595,0.93412236621705,1.8682447324341
"141","Jagger Zlotoff","UCCS",0.766304347826087,0.846491228070175,0.557788944723618,0.524038461538462,2.69462298215834,0.846491228070175,0.766304347826087,0.673655745539586,0.806397787948131,1.61279557589626
"142","Scott Nutter","Wingate",0.771739130434783,NA,NA,NA,0.771739130434783,0.771739130434783,NA,0.771739130434783,0.771739130434783,0.771739130434783
"143","Jordan Guice","Virgina State",0.777173913043478,0.175438596491228,NA,NA,0.952612509534706,0.777173913043478,0.175438596491228,0.476306254767353,0.476306254767353,0.952612509534706
"144","Adugna Moritz","GVSU",0.782608695652174,0.692982456140351,0.5678391959799,0.485576923076923,2.52900727084935,0.782608695652174,0.692982456140351,0.632251817712337,0.737795575896262,1.47559115179252
"145","Justin Peck","Cedarville ",0.78804347826087,0.495614035087719,0.331658291457286,0.716346153846154,2.33166195865203,0.78804347826087,0.716346153846154,0.582915489663007,0.752194816053512,1.50438963210702
"146","Noah Blaz","Malone ",0.793478260869565,0.157894736842105,NA,NA,0.95137299771167,0.793478260869565,0.157894736842105,0.475686498855835,0.475686498855835,0.95137299771167
"147","Jackson Danner","Alabama Huntsville",0.798913043478261,0.885964912280702,0.819095477386935,0.985576923076923,3.48955035622282,0.985576923076923,0.885964912280702,0.872387589055705,0.935770917678812,1.87154183535762
"148","Brian Miller","UMary",0.804347826086957,0.714912280701754,0.492462311557789,0.538461538461538,2.55018395680804,0.804347826086957,0.714912280701754,0.63754598920201,0.759630053394355,1.51926010678871
"149","Amir Dayal","Augusta",0.809782608695652,0.289473684210526,0.195979899497487,0.519230769230769,1.81446696163444,0.809782608695652,0.519230769230769,0.453616740408609,0.664506688963211,1.32901337792642
"150","Jonathan Rachal","Augusta",0.815217391304348,0.258771929824561,0.0201005025125628,0.163461538461538,1.25755136210301,0.815217391304348,0.258771929824561,0.314387840525753,0.536994660564455,1.07398932112891
"151","Joaquin Oretga (Ortega?)","ADAMS STATE",0.820652173913043,0.565789473684211,0.376884422110553,0.706730769230769,2.47005683893858,0.820652173913043,0.706730769230769,0.617514209734644,0.763691471571906,1.52738294314381
"152","Jalen Brownlee","Virgina State",0.826086956521739,0.62719298245614,NA,NA,1.45327993897788,0.826086956521739,0.62719298245614,0.72663996948894,0.72663996948894,1.45327993897788
"153","Carson Kardokus ","Oklahoma Baptist ",0.831521739130435,0.684210526315789,0.562814070351759,0.403846153846154,2.48239248964414,0.831521739130435,0.684210526315789,0.620598122411034,0.757866132723112,1.51573226544622
"154","Quinton Bauer","GVSU",0.83695652173913,0.149122807017544,NA,NA,0.986079328756674,0.83695652173913,0.149122807017544,0.493039664378337,0.493039664378337,0.986079328756674
"155","Carson Nicoletti ","Wayne State (MI)",0.842391304347826,0.956140350877193,0.964824120603015,0.927884615384615,3.69124039121265,0.964824120603015,0.956140350877193,0.922810097803162,0.960482235740104,1.92096447148021
"156","Brady Terry","SOUTHERN INDIANA",0.847826086956522,0.447368421052632,0.663316582914573,0.817307692307692,2.77581878323142,0.847826086956522,0.817307692307692,0.693954695807855,0.832566889632107,1.66513377926421
"157","Seth Macura","Walsh ",0.853260869565217,0.662280701754386,0.341708542713568,0.509615384615385,2.36686549864856,0.853260869565217,0.662280701754386,0.591716374662139,0.757770785659802,1.5155415713196
"158","Hayden Judge","Lee",0.858695652173913,0.5,NA,0.951923076923077,2.31061872909699,0.951923076923077,0.858695652173913,0.77020624303233,0.905309364548495,1.81061872909699
"159","Evan Moore","Lee",0.864130434782609,0.881578947368421,0.608040201005025,0.350961538461538,2.70471112161759,0.881578947368421,0.864130434782609,0.676177780404398,0.872854691075515,1.74570938215103
"160","Beau Brock","Augustana (S.D.)",0.869565217391304,0.320175438596491,0.0804020100502513,0.644230769230769,1.91437343526882,0.869565217391304,0.644230769230769,0.478593358817204,0.756897993311037,1.51379598662207
"161","Owen Jones","UMary",0.875,0.710526315789474,NA,0.230769230769231,1.8162955465587,0.875,0.710526315789474,0.605431848852901,0.792763157894737,1.58552631578947
"162","Abesolom Teffra","Fresno Pacific ",0.880434782608696,0.899122807017544,0.824120603015075,NA,2.60367819264131,0.899122807017544,0.880434782608696,0.867892730880438,0.88977879481312,1.77955758962624
"163","Blake Lewis","Columbus State",0.885869565217391,0.521929824561403,NA,0.110576923076923,1.51837631285572,0.885869565217391,0.521929824561403,0.506125437618573,0.703899694889397,1.40779938977879
"164","Abdinajib Abade","ADAMS STATE",0.891304347826087,0.135964912280702,NA,0.283653846153846,1.31092310626063,0.891304347826087,0.283653846153846,0.436974368753545,0.587479096989967,1.17495819397993
"165","Ethan Grolnic","COLORADO MINES",0.896739130434783,0.679824561403509,0.236180904522613,0.0865384615384615,1.89928305789937,0.896739130434783,0.679824561403509,0.474820764474842,0.788281845919146,1.57656369183829
"166","Elliott Buechlein","SOUTHERN INDIANA",0.902173913043478,0.929824561403509,NA,0.548076923076923,2.38007539752391,0.929824561403509,0.902173913043478,0.793358465841303,0.915999237223494,1.83199847444699
